teamname,playername,dateupdated,plink,tdate,tweet,polarity,subjectivity,approval,numrt,numfav
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265058447063736321,2020-05-25 23:13:32+00:00,"The eyes say, ""yes, I did what those ladies say I did"".",0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/ebbsebbs27/status/1265056822366355456,2020-05-25 23:07:04+00:00,We now go live to @RemandaDrew talking about Joe Thornton’s beard @NighJamie,0.136,0.5,0.068,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265056015214678016,2020-05-25 23:03:52+00:00,The country literally voted out Churchill 2 months after he saved Britain.. its not a new thing with British politics,-0.034,0.227,-0.026,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265053471738400770,2020-05-25 22:53:45+00:00,Harrisburg PA Farmers Arena. One of his favorite rally places.,0.5,1.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Joe__Thornton/status/1265050760326402053,2020-05-25 22:42:59+00:00,It's not that we dont care but she could have gotten this fellow killed with her fake distress call,-0.35,0.5,-0.175,1,123
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1265048538037334018,2020-05-25 22:34:09+00:00,Put the damn silverware back!,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/coachthornton2/status/1265008357666107392,2020-05-25 19:54:29+00:00,Happy Anniversary!,1.0,1.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1264991605716586497,2020-05-25 18:47:55+00:00,We live in a democratic representative federal republic,0.136,0.5,0.068,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1264991022133673984,2020-05-25 18:45:36+00:00,We don’t live in a democracy.,0.136,0.5,0.068,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/HockeyNThings/status/1264987705609531392,2020-05-25 18:32:26+00:00,"Joe Thornton, old man, or hockey guru?",0.1,0.2,0.08,0,0
